"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,3,03:50:00,03:50:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,3,04:02:00,04:02:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,3,04:14:00,04:14:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,3,04:28:00,04:28:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,13,04:33:00,04:33:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,04:43:00,04:43:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,13,04:48:00,04:48:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,13,04:53:00,04:53:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,04:53:00,04:53:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,13,05:01:00,05:01:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,05:03:00,05:03:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,05:09:00,05:09:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,05:13:00,05:13:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,13,05:18:00,05:18:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,05:23:00,05:23:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,05:26:00,05:26:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,3,05:31:00,05:31:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,05:33:00,05:33:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,15,05:38:00,05:38:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,05:43:00,05:43:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,05:45:00,05:45:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,3,05:50:00,05:50:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,05:53:00,05:53:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,3,05:56:00,05:56:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,15,06:01:00,06:01:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,06:05:00,06:05:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,06:06:00,06:06:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,3,06:10:00,06:10:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,06:11:00,06:11:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,15,06:15:00,06:15:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,06:17:00,06:17:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,06:20:00,06:20:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,06:23:00,06:23:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,15,06:26:00,06:26:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,06:30:00,06:30:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,06:32:00,06:32:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,06:35:00,06:35:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,15,06:38:00,06:38:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,06:41:00,06:41:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,06:44:00,06:44:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,06:47:00,06:47:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,15,06:50:00,06:50:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,06:53:00,06:53:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,06:56:00,06:56:00,1_merged_2438691
"TO FAIRVIEW HEIGHTS","CENTRAL WEST END METROLINK STATION",333399,2,11,06:59:00,06:59:00,1_merged_2438691
"TO SHREWSBURY LANSDOWNE I-44","CENTRAL WEST END METROLINK STATION",333399,2,13,07:02:00,07:02:00,1_merged_2438691
"TO SHILOH SCOTT","CENTRAL WEST END METROLINK STATION",CC0033,2,10,07:05:00,07:05:00,1_merged_2438691
"TO LAMBERT AIRPORT TERMINAL #1","CENTRAL WEST END METROLINK STATION",CC0033,2,20,07:08:00,07:08:00,1_merged_2438691
