"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,9,04:28:00,04:28:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,9,04:40:00,04:40:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,9,04:52:00,04:52:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,9,05:06:00,05:06:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,9,05:12:00,05:12:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,9,05:26:00,05:26:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,9,05:32:00,05:32:00,2_merged_2038873
"TO SHILOH SCOTT","CIVIC CENTER METROLINK STATION",CC0033,2,13,05:37:00,05:37:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,9,05:40:00,05:40:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,16,05:46:00,05:46:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","CIVIC CENTER METROLINK STATION",333399,2,14,05:47:00,05:47:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,11,05:56:00,05:56:00,2_merged_2038873
"TO SHILOH SCOTT","CIVIC CENTER METROLINK STATION",CC0033,2,13,05:57:00,05:57:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,16,06:06:00,06:06:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","CIVIC CENTER METROLINK STATION",333399,2,14,06:07:00,06:07:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,11,06:16:00,06:16:00,2_merged_2038873
"TO SHILOH SCOTT","CIVIC CENTER METROLINK STATION",CC0033,2,13,06:17:00,06:17:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,16,06:26:00,06:26:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","CIVIC CENTER METROLINK STATION",333399,2,14,06:27:00,06:27:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,11,06:36:00,06:36:00,2_merged_2038873
"TO SHILOH SCOTT","CIVIC CENTER METROLINK STATION",CC0033,2,13,06:37:00,06:37:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,16,06:46:00,06:46:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","CIVIC CENTER METROLINK STATION",333399,2,14,06:47:00,06:47:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,11,06:56:00,06:56:00,2_merged_2038873
"TO SHILOH SCOTT","CIVIC CENTER METROLINK STATION",CC0033,2,13,06:57:00,06:57:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,16,07:06:00,07:06:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","CIVIC CENTER METROLINK STATION",333399,2,14,07:07:00,07:07:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,11,07:16:00,07:16:00,2_merged_2038873
"TO SHILOH SCOTT","CIVIC CENTER METROLINK STATION",CC0033,2,13,07:17:00,07:17:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","CIVIC CENTER METROLINK STATION",CC0033,2,16,07:26:00,07:26:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","CIVIC CENTER METROLINK STATION",333399,2,14,07:27:00,07:27:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","CIVIC CENTER METROLINK STATION",333399,2,11,07:36:00,07:36:00,2_merged_2038873
"TO SHILOH SCOTT","CIVIC CENTER METROLINK STATION",CC0033,2,13,07:37:00,07:37:00,2_merged_2038873
