"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,04:22:00,04:22:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,04:35:00,04:35:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,04:47:00,04:47:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,05:01:00,05:01:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,05:07:00,05:07:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,05:20:00,05:20:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,05:25:00,05:25:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,05:30:00,05:30:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,05:35:00,05:35:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,05:40:00,05:40:00,2
"TO SHILOH SCOTT","CONVENTION CENTER METROLINK STATION",CC0033,2,26,05:42:00,05:42:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,05:50:00,05:50:00,2
"TO FAIRVIEW HEIGHTS","CONVENTION CENTER METROLINK STATION",333399,2,26,05:52:00,05:52:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,06:00:00,06:00:00,2
"TO SHILOH SCOTT","CONVENTION CENTER METROLINK STATION",CC0033,2,26,06:02:00,06:02:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,06:10:00,06:10:00,2
"TO FAIRVIEW HEIGHTS","CONVENTION CENTER METROLINK STATION",333399,2,26,06:12:00,06:12:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,06:20:00,06:20:00,2
"TO SHILOH SCOTT","CONVENTION CENTER METROLINK STATION",CC0033,2,26,06:22:00,06:22:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,06:30:00,06:30:00,2
"TO FAIRVIEW HEIGHTS","CONVENTION CENTER METROLINK STATION",333399,2,26,06:32:00,06:32:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,06:40:00,06:40:00,2
"TO SHILOH SCOTT","CONVENTION CENTER METROLINK STATION",CC0033,2,26,06:42:00,06:42:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,06:50:00,06:50:00,2
"TO FAIRVIEW HEIGHTS","CONVENTION CENTER METROLINK STATION",333399,2,26,06:52:00,06:52:00,2
"TO SHREWSBURY LANSDOWNE I-44","CONVENTION CENTER METROLINK STATION",333399,2,14,07:00:00,07:00:00,2
"TO SHILOH SCOTT","CONVENTION CENTER METROLINK STATION",CC0033,2,26,07:02:00,07:02:00,2
"TO LAMBERT AIRPORT TERMINAL #1","CONVENTION CENTER METROLINK STATION",CC0033,2,14,07:10:00,07:10:00,2
"TO FAIRVIEW HEIGHTS","CONVENTION CENTER METROLINK STATION",333399,2,26,07:12:00,07:12:00,2
