"TO LAMBERT AIRPORT TERMINAL #1","FOREST PARK METROLINK STATION",CC0033,2,22,04:39:00,04:39:00,2
"TO SHREWSBURY LANSDOWNE I-44","FOREST PARK METROLINK STATION",333399,2,22,04:51:00,04:51:00,2
"TO LAMBERT AIRPORT TERMINAL #1","FOREST PARK METROLINK STATION",CC0033,2,22,05:03:00,05:03:00,2
"TO SHREWSBURY LANSDOWNE I-44","FOREST PARK METROLINK STATION",333399,2,22,05:17:00,05:17:00,2
"TO LAMBERT AIRPORT TERMINAL #1","FOREST PARK METROLINK STATION",CC0033,2,22,05:23:00,05:23:00,2
"TO SHILOH SCOTT","FOREST PARK METROLINK STATION",CC0033,2,18,05:26:00,05:26:00,2
"TO FAIRVIEW HEIGHTS","FOREST PARK METROLINK STATION",333399,2,18,05:36:00,05:36:00,2
"TO SHREWSBURY LANSDOWNE I-44","FOREST PARK METROLINK STATION",333399,2,22,05:36:00,05:36:00,2
"TO LAMBERT AIRPORT TERMINAL #1","FOREST PARK METROLINK STATION",CC0033,2,22,05:41:00,05:41:00,2
"TO SHILOH SCOTT","FOREST PARK METROLINK STATION",CC0033,2,18,05:46:00,05:46:00,2
"TO LAMBERT AIRPORT TERMINAL #1","FOREST PARK METROLINK STATION",CC0033,2,22,05:46:00,05:46:00,2
"TO SHREWSBURY LANSDOWNE I-44","FOREST PARK METROLINK STATION",333399,2,22,05:51:00,05:51:00,2
"TO FAIRVIEW HEIGHTS","FOREST PARK METROLINK STATION",333399,2,18,05:56:00,05:56:00,2
"TO SHREWSBURY LANSDOWNE I-44","FOREST PARK METROLINK STATION",333399,2,22,05:56:00,05:56:00,2
"TO SHILOH SCOTT","FOREST PARK METROLINK STATION",CC0033,2,18,06:06:00,06:06:00,2
"TO LAMBERT AIRPORT TERMINAL #1","FOREST PARK METROLINK STATION",CC0033,2,22,06:06:00,06:06:00,2
"TO FAIRVIEW HEIGHTS","FOREST PARK METROLINK STATION",333399,2,18,06:16:00,06:16:00,2
