"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,16,04:59:00,04:59:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,16,05:23:00,05:23:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,05:30:00,05:30:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,16,05:43:00,05:43:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,05:50:00,05:50:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,16,05:57:00,05:57:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,06:10:00,06:10:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,18,06:13:00,06:13:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,06:30:00,06:30:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,18,06:33:00,06:33:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,06:50:00,06:50:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,18,06:53:00,06:53:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,07:10:00,07:10:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,18,07:13:00,07:13:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,07:30:00,07:30:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","FORSYTH METROLINK STATION",333399,2,18,07:33:00,07:33:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","FORSYTH METROLINK STATION",333399,2,7,07:50:00,07:50:00,2_merged_2038873
