"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,04:23:00,04:23:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,04:38:00,04:38:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,04:40:00,04:40:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,04:43:00,04:43:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,04:48:00,04:48:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,04:51:00,04:51:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,04:53:00,04:53:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,04:59:00,04:59:00,1
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,24,05:03:00,05:03:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,05:08:00,05:08:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,05:13:00,05:13:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,05:18:00,05:18:00,1
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,24,05:23:00,05:23:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,05:28:00,05:28:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,05:33:00,05:33:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,05:35:00,05:35:00,1
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,24,05:43:00,05:43:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,05:46:00,05:46:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,05:52:00,05:52:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,05:56:00,05:56:00,1
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,24,06:03:00,06:03:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,06:05:00,06:05:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,06:10:00,06:10:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,06:15:00,06:15:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,06:16:00,06:16:00,1
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,24,06:21:00,06:21:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,06:22:00,06:22:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,06:27:00,06:27:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,06:28:00,06:28:00,1
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,24,06:33:00,06:33:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,06:34:00,06:34:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,06:40:00,06:40:00,1
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,16,06:40:00,06:40:00,1
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,24,06:45:00,06:45:00,1
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,16,06:46:00,06:46:00,1
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,24,06:51:00,06:51:00,1
