"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,8,04:26:00,04:26:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,8,04:38:00,04:38:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,8,04:50:00,04:50:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,8,05:04:00,05:04:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,8,05:10:00,05:10:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,8,05:24:00,05:24:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,8,05:30:00,05:30:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,8,05:38:00,05:38:00,2_merged_2038873
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,14,05:39:00,05:39:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,15,05:44:00,05:44:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,15,05:49:00,05:49:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,10,05:54:00,05:54:00,2_merged_2038873
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,14,05:59:00,05:59:00,2_merged_2038873
"TO LAMBERT AIRPORT TERMINAL #1","STADIUM METROLINK STATION",CC0033,2,15,06:04:00,06:04:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","STADIUM METROLINK STATION",333399,2,15,06:09:00,06:09:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","STADIUM METROLINK STATION",333399,2,10,06:14:00,06:14:00,2_merged_2038873
"TO SHILOH SCOTT","STADIUM METROLINK STATION",CC0033,2,14,06:19:00,06:19:00,2_merged_2038873
