"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,21,05:11:00,05:11:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,05:22:00,05:22:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,21,05:31:00,05:31:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,05:42:00,05:42:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,21,05:51:00,05:51:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,06:02:00,06:02:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,21,06:05:00,06:05:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,06:21:00,06:21:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,06:22:00,06:22:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,06:41:00,06:41:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,06:42:00,06:42:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,07:01:00,07:01:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,07:02:00,07:02:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,07:21:00,07:21:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,07:22:00,07:22:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,07:41:00,07:41:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,07:42:00,07:42:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,08:01:00,08:01:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,08:02:00,08:02:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,08:21:00,08:21:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,08:22:00,08:22:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,08:41:00,08:41:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,08:42:00,08:42:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,09:01:00,09:01:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,09:02:00,09:02:00,2_merged_2038873
"TO SHREWSBURY LANSDOWNE I-44","SUNNEN METROLINK STATION",333399,2,23,09:21:00,09:21:00,2_merged_2038873
"TO FAIRVIEW HEIGHTS","SUNNEN METROLINK STATION",333399,2,2,09:22:00,09:22:00,2_merged_2038873
