"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,04:32:00,04:32:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,04:55:00,04:55:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,05:04:00,05:04:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,05:15:00,05:15:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,05:24:00,05:24:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,05:35:00,05:35:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,05:44:00,05:44:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,05:53:00,05:53:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,05:58:00,05:58:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,06:04:00,06:04:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,06:18:00,06:18:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,06:24:00,06:24:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,06:38:00,06:38:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,06:44:00,06:44:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,06:58:00,06:58:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,07:04:00,07:04:00,2
"RED LINE TO SHILOH SCOTT","SWANSEA METROLINK STATION",CC0033,2,37,07:18:00,07:18:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","SWANSEA METROLINK STATION",CC0033,2,4,07:24:00,07:24:00,2
