"TO LAMBERT AIRPORT TERMINAL #1","UNION STA METROLINK STATION",CC0033,2,10,04:26:00,04:26:00,1_merged_2038871
"TO SHILOH SCOTT","UNION STA METROLINK STATION",CC0033,2,1,04:37:00,04:37:00,1_merged_2038871
"TO SHREWSBURY LANSDOWNE I-44","UNION STA METROLINK STATION",333399,2,10,04:41:00,04:41:00,1_merged_2038871
"TO SHILOH SCOTT","UNION STA METROLINK STATION",CC0033,2,1,04:45:00,04:45:00,1_merged_2038871
"TO LAMBERT AIRPORT TERMINAL #1","UNION STA METROLINK STATION",CC0033,2,10,04:46:00,04:46:00,1_merged_2038871
"TO SHILOH SCOTT","UNION STA METROLINK STATION",CC0033,2,12,04:50:00,04:50:00,1_merged_2038871
"TO SHREWSBURY LANSDOWNE I-44","UNION STA METROLINK STATION",333399,2,10,04:54:00,04:54:00,1_merged_2038871
"TO LAMBERT AIRPORT TERMINAL #1","UNION STA METROLINK STATION",CC0033,2,17,04:59:00,04:59:00,1_merged_2038871
"TO FAIRVIEW HEIGHTS","UNION STA METROLINK STATION",333399,2,13,05:00:00,05:00:00,1_merged_2038871
"TO SHREWSBURY LANSDOWNE I-44","UNION STA METROLINK STATION",333399,2,10,05:09:00,05:09:00,1_merged_2038871
"TO SHILOH SCOTT","UNION STA METROLINK STATION",CC0033,2,12,05:10:00,05:10:00,1_merged_2038871
"TO LAMBERT AIRPORT TERMINAL #1","UNION STA METROLINK STATION",CC0033,2,17,05:19:00,05:19:00,1_merged_2038871
"TO FAIRVIEW HEIGHTS","UNION STA METROLINK STATION",333399,2,13,05:20:00,05:20:00,1_merged_2038871
"TO SHREWSBURY LANSDOWNE I-44","UNION STA METROLINK STATION",333399,2,12,05:29:00,05:29:00,1_merged_2038871
"TO SHILOH SCOTT","UNION STA METROLINK STATION",CC0033,2,12,05:30:00,05:30:00,1_merged_2038871
"TO LAMBERT AIRPORT TERMINAL #1","UNION STA METROLINK STATION",CC0033,2,17,05:38:00,05:38:00,1_merged_2038871
"TO FAIRVIEW HEIGHTS","UNION STA METROLINK STATION",333399,2,13,05:40:00,05:40:00,1_merged_2038871
"TO SHILOH SCOTT","UNION STA METROLINK STATION",CC0033,2,12,05:49:00,05:49:00,1_merged_2038871
"TO SHREWSBURY LANSDOWNE I-44","UNION STA METROLINK STATION",333399,2,12,05:49:00,05:49:00,1_merged_2038871
"TO LAMBERT AIRPORT TERMINAL #1","UNION STA METROLINK STATION",CC0033,2,17,05:59:00,05:59:00,1_merged_2038871
"TO FAIRVIEW HEIGHTS","UNION STA METROLINK STATION",333399,2,13,06:00:00,06:00:00,1_merged_2038871
