"RED LINE TO LAMBERT AIRPORT TERMINAL #1","UNION STATION METROLINK STATION",CC0033,2,18,04:15:00,04:15:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","UNION STATION METROLINK STATION",333399,2,18,04:25:00,04:25:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","UNION STATION METROLINK STATION",CC0033,2,18,04:38:00,04:38:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","UNION STATION METROLINK STATION",333399,2,18,04:48:00,04:48:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","UNION STATION METROLINK STATION",CC0033,2,18,04:53:00,04:53:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","UNION STATION METROLINK STATION",333399,2,18,04:57:00,04:57:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","UNION STATION METROLINK STATION",CC0033,2,18,05:11:00,05:11:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","UNION STATION METROLINK STATION",333399,2,18,05:16:00,05:16:00,2
"RED LINE TO SHILOH SCOTT","UNION STATION METROLINK STATION",CC0033,2,23,05:25:00,05:25:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","UNION STATION METROLINK STATION",CC0033,2,18,05:27:00,05:27:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","UNION STATION METROLINK STATION",333399,2,23,05:36:00,05:36:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","UNION STATION METROLINK STATION",333399,2,18,05:36:00,05:36:00,2
"RED LINE TO SHILOH SCOTT","UNION STATION METROLINK STATION",CC0033,2,23,05:45:00,05:45:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","UNION STATION METROLINK STATION",CC0033,2,18,05:47:00,05:47:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","UNION STATION METROLINK STATION",333399,2,23,05:56:00,05:56:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","UNION STATION METROLINK STATION",333399,2,18,05:56:00,05:56:00,2
"RED LINE TO SHILOH SCOTT","UNION STATION METROLINK STATION",CC0033,2,23,06:05:00,06:05:00,2
"RED LINE TO LAMBERT AIRPORT TERMINAL #1","UNION STATION METROLINK STATION",CC0033,2,18,06:07:00,06:07:00,2
"BLUE LINE TO FAIRVIEW HEIGHTS","UNION STATION METROLINK STATION",333399,2,23,06:16:00,06:16:00,2
"BLUE LINE TO SHREWSBURY LANSDOWNE I-44","UNION STATION METROLINK STATION",333399,2,18,06:16:00,06:16:00,2
"RED LINE TO SHILOH SCOTT","UNION STATION METROLINK STATION",CC0033,2,23,06:25:00,06:25:00,2
