"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,03:38:00,03:38:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,04:04:00,04:04:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,04:23:00,04:23:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,04:43:00,04:43:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,04:44:00,04:44:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,04:56:00,04:56:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,05:02:00,05:02:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,05:04:00,05:04:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,05:09:00,05:09:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,05:12:00,05:12:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,05:19:00,05:19:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,05:19:00,05:19:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,05:29:00,05:29:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,05:30:00,05:30:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,05:39:00,05:39:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,05:40:00,05:40:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,05:45:00,05:45:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,05:49:00,05:49:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,05:49:00,05:49:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,05:54:00,05:54:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,05:59:00,05:59:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,06:00:00,06:00:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,06:04:00,06:04:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,06:06:00,06:06:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,06:08:00,06:08:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,06:12:00,06:12:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,06:18:00,06:18:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,06:19:00,06:19:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,06:24:00,06:24:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,06:30:00,06:30:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,06:31:00,06:31:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,06:37:00,06:37:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,06:42:00,06:42:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,06:43:00,06:43:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,06:48:00,06:48:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,06:49:00,06:49:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,06:54:00,06:54:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,06:56:00,06:56:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,07:00:00,07:00:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,07:01:00,07:01:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,07:06:00,07:06:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,07:07:00,07:07:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,07:12:00,07:12:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,07:13:00,07:13:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,07:18:00,07:18:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,07:19:00,07:19:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,07:24:00,07:24:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,07:25:00,07:25:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,07:30:00,07:30:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,07:31:00,07:31:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,07:36:00,07:36:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,07:37:00,07:37:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,07:42:00,07:42:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,07:43:00,07:43:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,07:48:00,07:48:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,07:49:00,07:49:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,07:54:00,07:54:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,07:55:00,07:55:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,08:00:00,08:00:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,08:01:00,08:01:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,08:05:00,08:05:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,08:07:00,08:07:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,08:12:00,08:12:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,08:13:00,08:13:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,08:18:00,08:18:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,08:19:00,08:19:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,08:24:00,08:24:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,08:25:00,08:25:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,08:30:00,08:30:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,08:31:00,08:31:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,08:36:00,08:36:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,08:43:00,08:43:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,08:43:00,08:43:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,08:48:00,08:48:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,08:49:00,08:49:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,08:55:00,08:55:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,08:57:00,08:57:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,09:01:00,09:01:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,09:07:00,09:07:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,09:07:00,09:07:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,09:17:00,09:17:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,09:19:00,09:19:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,09:25:00,09:25:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,09:27:00,09:27:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,09:36:00,09:36:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,09:37:00,09:37:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,09:46:00,09:46:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,09:47:00,09:47:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,09:56:00,09:56:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,09:57:00,09:57:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,10:05:00,10:05:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,10:07:00,10:07:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,10:15:00,10:15:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,10:17:00,10:17:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,10:25:00,10:25:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,10:27:00,10:27:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,10:35:00,10:35:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,10:37:00,10:37:00,1
"TO FAIRVIEW HEIGHTS","WASHINGTON PARK METROLINK STATION",333399,2,33,10:45:00,10:45:00,1
"TO SHREWSBURY LANSDOWNE I-44","WASHINGTON PARK METROLINK STATION",333399,2,7,10:47:00,10:47:00,1
"TO SHILOH SCOTT","WASHINGTON PARK METROLINK STATION",CC0033,2,33,10:55:00,10:55:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WASHINGTON PARK METROLINK STATION",CC0033,2,7,10:57:00,10:57:00,1
