"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,03:58:00,03:58:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,04:21:00,04:21:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,04:36:00,04:36:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,04:40:00,04:40:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,04:56:00,04:56:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,05:00:00,05:00:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,05:16:00,05:16:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,05:16:00,05:16:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,05:35:00,05:35:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,05:35:00,05:35:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,05:47:00,05:47:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,05:52:00,05:52:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,05:58:00,05:58:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,06:08:00,06:08:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,06:10:00,06:10:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,06:13:00,06:13:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,06:23:00,06:23:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,06:27:00,06:27:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,06:34:00,06:34:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,06:39:00,06:39:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,06:46:00,06:46:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,06:51:00,06:51:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,06:58:00,06:58:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,07:03:00,07:03:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,07:10:00,07:10:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,07:15:00,07:15:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,07:22:00,07:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,07:27:00,07:27:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,07:34:00,07:34:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,07:39:00,07:39:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,07:46:00,07:46:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,07:51:00,07:51:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,07:58:00,07:58:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,08:03:00,08:03:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,08:10:00,08:10:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,08:15:00,08:15:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,08:22:00,08:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,08:27:00,08:27:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,08:34:00,08:34:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,08:38:00,08:38:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,08:46:00,08:46:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,08:51:00,08:51:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,09:03:00,09:03:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,09:03:00,09:03:00,1
"TO GRAND","WELLSTON METROLINK STATION",CC0033,2,7,09:09:00,09:09:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,09:16:00,09:16:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,09:23:00,09:23:00,1
"TO GRAND","WELLSTON METROLINK STATION",CC0033,2,7,09:28:00,09:28:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,09:30:00,09:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,09:42:00,09:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,09:50:00,09:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,10:02:00,10:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,10:10:00,10:10:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,10:22:00,10:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,10:30:00,10:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,10:42:00,10:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,10:50:00,10:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,11:02:00,11:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,11:10:00,11:10:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,11:22:00,11:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,11:30:00,11:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,11:42:00,11:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,11:50:00,11:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,12:02:00,12:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,12:10:00,12:10:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,12:22:00,12:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,12:30:00,12:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,12:42:00,12:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,12:50:00,12:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,13:02:00,13:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,13:10:00,13:10:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,13:22:00,13:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,13:30:00,13:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,13:42:00,13:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,13:50:00,13:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,14:02:00,14:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,14:10:00,14:10:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,14:22:00,14:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,14:30:00,14:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,14:43:00,14:43:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,14:47:00,14:47:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,14:59:00,14:59:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,15:04:00,15:04:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,15:14:00,15:14:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,15:22:00,15:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,15:24:00,15:24:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,15:34:00,15:34:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,15:39:00,15:39:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,15:46:00,15:46:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,15:51:00,15:51:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,15:58:00,15:58:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,16:03:00,16:03:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,16:10:00,16:10:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,16:15:00,16:15:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,16:22:00,16:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,16:27:00,16:27:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,16:34:00,16:34:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,16:39:00,16:39:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,16:46:00,16:46:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,16:51:00,16:51:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,16:58:00,16:58:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,17:03:00,17:03:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,17:10:00,17:10:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,17:15:00,17:15:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,17:22:00,17:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,17:27:00,17:27:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,17:34:00,17:34:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,17:39:00,17:39:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,17:46:00,17:46:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,17:51:00,17:51:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,17:58:00,17:58:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,18:03:00,18:03:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,18:10:00,18:10:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,18:15:00,18:15:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,18:23:00,18:23:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,18:27:00,18:27:00,1
"TO GRAND","WELLSTON METROLINK STATION",CC0033,2,7,18:37:00,18:37:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,18:37:00,18:37:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,18:41:00,18:41:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,18:56:00,18:56:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,19:02:00,19:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,19:11:00,19:11:00,1
"TO GRAND","WELLSTON METROLINK STATION",CC0033,2,7,19:17:00,19:17:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,19:22:00,19:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,19:30:00,19:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,19:42:00,19:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,19:50:00,19:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,20:02:00,20:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,20:11:00,20:11:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,20:22:00,20:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,20:30:00,20:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,20:42:00,20:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,20:50:00,20:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,21:02:00,21:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,21:10:00,21:10:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,21:22:00,21:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,21:30:00,21:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,21:42:00,21:42:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,21:50:00,21:50:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,22:02:00,22:02:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,22:10:00,22:10:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,22:22:00,22:22:00,1
"TO LAMBERT AIRPORT TERMINAL #1","WELLSTON METROLINK STATION",CC0033,2,33,22:30:00,22:30:00,1
"TO SHILOH SCOTT","WELLSTON METROLINK STATION",CC0033,2,7,22:42:00,22:42:00,1
